v17,v24af,kon,v75,v76
2,10,1,65,170
,0,1,78,170
3,0,1,78,183
3,,1,71,182
3,1.5,1,80,178
3,2,1,75,168
4,0,1,87,198
3,1,1,74,183
2,0,1,70,180
3,0,1,88,180
3,6,1,85,180
3,1,1,75,173
3,30,1,75,173
4,2,1,83,183
3,10,1,83,179
2,3,1,79,180
3,2.5,1,72,175
3,0,1,70,180
3,0,1,83,187
1,0,1,90,185
4,0,1,74,179
3,0,1,83,176
,,1,69,170
3,0,1,77,165
2,5,1,83,190
2,0,1,80,182
3,2,1,85,182
1,2,1,70,182
3,0,1,67,170
3,8,1,85,175
3,0,1,75,183
3,4,1,82,
3,3,1,76,175
3,1,1,85,183
4,0,1,87,178
2,6,1,96,184
3,0,1,95,186
3,0,1,68,170
3,10,1,70,173
3,0,1,88,179
2,2,1,68,183
3,12.5,1,74,172
4,3,1,78,192
4,2,1,68,174
3,0,1,48,177
3,0,1,64,172
2,0,1,83,194
2,10,1,72,178
3,0,1,80,187
3,0,1,71,167
3,1,1,78,181
1,0,1,63,165
4,4,1,67,182
3,0,1,71,182
3,2,1,,
2,4,1,80,172
3,2,1,108,196
4,0,1,84,174
3,0,1,78,180
1,0,1,110,182
3,0,1,87,189
3,0,1,84,186
4,9,1,74,186
3,0,1,105,182
2,0,1,70,170
3,0,1,90,184
4,2,1,60,155
3,1,1,75,173
2,5,1,102,199
4,0,1,70,179
3,0,1,61,186
2,0,1,86,187
3,3,1,85,184
2,0,1,75,183
3,1,1,93,183.5
3,0,1,85,190
2,0,1,75,184
3,6,1,74,183
2,0,1,75,174.5
3,2,1,78,175
3,0,1,70,173
3,2,1,134,184
3,3,1,64,170
4,6,1,84,184
1,0,1,75,184
2,0,1,65,170
3,2,1,77,182
3,0,1,68,184
3,10,1,100,176
3,20,1,75,190
2,0,1,74,181
3,2,1,74,181
2,0,1,82,185
2,10,1,80,185
3,0,1,80,174
3,2,1,75,172
2,1,1,85,195
3,1,1,73,167
4,0,1,103,194
3,0,1,68,170
3,1,1,53,160
1,1,1,72,175
3,0,1,80,182
3,0,1,75,187
3,0,1,68,176
4,9,1,,168
2,1,1,80,180
3,0,1,100,200
4,0,1,88,179
3,20,1,70,178
4,0,1,77,178
3,0,1,70,164
2,2,1,73,194
3,9,1,70,170
3,10,1,59,176
1,1,1,80,186
2,4,1,92,192
3,4,1,80,183
2,12,1,79,185
3,2,1,95,195
3,4,1,78,180
4,1,1,80,187
2,5,1,71,165
3,0,1,72,182
1,0,1,98,183
3,12,1,70,175
3,5,1,79,174
4,2,1,90,189.5
3,2,1,80,187
3,2,1,80,185
2,5,1,82,191
3,6,1,100,195
4,2,1,75,183
2,1,1,81,191
3,0,1,76,180
3,0,1,75,175
3,0,1,70,170
3,0,1,82,174
3,1,1,67,176
2,0,1,77,170
3,0,1,73,176
3,6,1,67,172
4,2,1,75,172
3,0,1,76,180
3,4,1,76,172
4,0,1,85,176
4,5,1,104,183
4,0,1,79,
3,2,1,80,183
2,0,1,72,178
3,0,1,72,170
3,0,1,75,179
3,0,1,82,182
3,1,1,90,178
2,4,1,82,190
1,12,1,71,184
2,0,1,77,195
4,0,1,71.5,188
3,2,1,83,190
2,0,1,95,195
4,0,1,105,173
2,1,1,65,172
4,2,1,,
3,5,1,74,182
3,0,1,72,170
1,8,1,83,183
4,0,1,70,177
2,1,1,75,175
3,0,1,70,162
3,0,1,65,174
1,0,1,72,179
3,0,1,65,182
,1,1,61,169
4,0,1,82,175
1,0,1,68,178
4,0,1,48,156
3,0,1,93,189
2,5,1,76,180
2,10,1,74,189
3,9,1,80,184
3,2,1,72,180
3,2,1,80,175
3,8,1,88,186
2,3,1,65,177
3,0,1,76,185
3,1,1,79,177
3,5,1,67.5,160
3,4,1,76,182
3,0,1,84,173
3,,1,88,182
4,0,1,79,180
4,0,1,76,189
3,2,1,59,166
2,0,1,75,183
3,0,1,77,185
3,0,1,78,167
3,2,1,65,165
2,2,1,80,189
3,0,1,84,185
2,0,1,82,173
3,8,1,82,174
2,0,1,90,180
3,6,1,97,176
4,0,1,71,180
3,4,1,68,178
3,5,1,72,163
3,2,1,64,172
4,0,1,110,182
2,4,1,85,194
3,0,1,68,175
1,0,1,86,193
3,,1,62,169
3,3,1,70,182
2,9,1,107,183
3,2,1,71,180
3,1,1,100,178
4,1,1,71,178
1,0,1,84,188
4,0,1,67,164
3,2,1,92,182
3,0,1,63,165
3,0,1,62,170
2,0,1,95,193
3,0,1,,
3,9,1,80,179
3,6,1,80,176
2,0,1,92,183
2,0,1,76,183
3,2,1,74,188
3,0,1,109,191
3,20,1,112,180
2,3,1,88,185
3,20,1,70,176
2,0,1,53,163
2,5,1,83,183
1,6,1,83,197
3,0,1,80,177
,0,1,106,176
3,1,1,80,186
2,4,1,76,184
2,0,1,75,182
4,,1,88,178
4,1,1,65,165
2,2,1,73,185
3,0,1,82,179
3,0,1,71,184
3,0,1,82,186
2,0,1,83,181
3,15,1,84,190
4,0,1,67,164
4,2,1,76,172
3,0,1,90,188
4,,1,85,170
3,12,1,75,190
4,0,1,61,174
3,0,1,74,184
4,0,1,73,168
3,2,1,74,179
3,20,1,83,198
3,3,1,34,171
2,10,1,72,178
3,0,1,85,192
3,0,1,89,184
2,0,1,94,180
2,1,1,75,184
4,2,1,90,185
4,0,1,115,182
3,0,1,86,176
3,0,1,80,174
3,0,1,75,182
3,0,1,78,180
3,3,1,75,182
3,2,1,86,186
3,12,1,80,189
2,1,1,80,174
3,0,1,80,170
2,0,1,67,177
2,2,1,62,179
3,1,1,55,170
2,5.5,1,88,183
4,0,1,83,183
3,10,1,80,189
2,0,1,76,178
2,1,1,82,185
4,,1,76,174
3,0,1,74,186
2,5,1,64,168
4,0,1,97,186
1,0,1,73.5,192
3,0,1,85,
3,2,1,80,175
4,0,1,83,183
3,4,1,90,192
2,1,1,69,180
3,4,1,69,181
1,2,1,85,187
4,,1,58,173
4,0,1,79,185
3,8,1,100,183
3,27.5,1,75,174
4,0,1,80,191
3,0,1,75,175
2,6,1,92,185
3,15,1,76,178
3,5,1,90,188
2,0,1,85,178
3,0,1,70,180
2,20,1,89,190
2,10,1,80,188
2,0,1,76,174
3,0,1,73,180
2,0,1,78,184
3,1,1,93,168
3,2,1,83,183
3,0,1,88,175
3,1,2,64,174
2,0,2,60,170
3,0,2,72,168
3,0,2,55,171
,2,2,66,180
3,0,2,63,173
3,0,2,55,163
3,0,2,54,165
4,0,2,80,160
3,0,2,48,167
2,0,2,64,177
3,2,2,53,171
3,7,2,58,165
3,0,2,78,170
3,0,2,64,170
3,0,2,62,169
3,1,2,61,162
3,,2,,172
3,0,2,48,165
3,0,2,72,160
3,0,2,50,148
3,0,2,59,165
3,0,2,60,174
3,0,2,86,169
3,0,2,78,159
3,0,2,58,163
1,10,2,58,168
3,0,2,63,175
1,1,2,59,171
3,0,2,55,164
2,0,2,62,174
,,2,75,162
2,0,2,65,173
3,0,2,69,178
4,0,2,58,157
,0,2,59,160
2,1,2,55,171
3,0,2,56,172
4,,2,63,172
3,2,2,54,157
3,0,2,61,172
3,0,2,52,162
3,6,2,65,173
