v17,v24af,kon,v75,v76
3,0,2,59,168
3,0,2,72,179
3,0,2,62,156
3,0,2,64.5,170
3,1,2,63,164
2,0,2,58,173
,2,2,67,172
4,0,2,55,168
3,2,2,65,173
3,2,2,68,172
3,0,2,58,
3,0,2,59,173
4,0,2,80,168
2,8,2,73,182
3,0,2,56,168
2,4,2,66,168
2,2,2,56,160
,0,2,,170
4,0,2,45,148
3,0,2,70,170
3,0,2,60,167
3,0,2,55,163
4,0,2,60,163
3,3,2,50,170
3,2,2,72.5,160
3,0.3,2,73,173
3,0,2,80,172
3,0,2,65,160
3,3,2,70,172
3,0,2,64,168
3,0,2,60,170
3,3,2,42,152
3,0,2,50,167
3,0,2,56,170
4,1,2,62,174
3,3,2,62,165
3,0,2,65,168
3,0,2,75,150
3,0,2,50,166
3,0,2,55,172
3,0,2,48,150
3,0,2,67,173
3,0,2,83,169
3,0,2,99,178
1,0,2,70,173
2,0,2,76,180
3,0,2,62,160
3,0,2,55,157
3,0,2,59,172
3,0,2,69,152
3,0,2,61,167
3,2,2,95,175
3,0,2,67,175
3,3,2,54,163
3,0,2,75,175
3,0,2,61.5,178
3,3,2,49,155
3,0,2,108,170
2,2,2,58,158
2,0,2,50,163
3,6,2,100,165
3,0,2,82,167
,0,2,65,164
3,2,2,68,165
3,0,2,70,173
3,0,2,65,159
3,0,2,65,169
3,0,2,52,150
,0,2,64,166
3,0.5,2,70,178
3,3,2,85,176
3,0,2,72,167
4,0,2,50,161
3,0,2,58,164
3,3,2,50,163
2,0,2,53,164
3,3,2,62,165
2,0,,70,177
,,,,
3,,,,
2,0,,52,155
3,0,,,
3,0,,,
,,,,
,0,,,
2,0,,,
3,0,,,
,,,,
2,0,,,
3,10,,,
3,0,,,
3,1,,,
3,0,,,
3,3,,,
3,0,,,
2,3,,87,189
3,0,,,
,0,,,
,,,,
3,3,,,
3,0,,,
4,,,59,157
3,3,,,
